State,Crop,Year,Rainfall,Temperature,Area,Production
Haryana,Wheat,2018,136,20,621,779
Maharashtra,Wheat,2022,182,25,1188,1971
Gujarat,Soybean,2017,113,26,1079,1385
Haryana,Sugarcane,2020,220,28,974,2233
Rajasthan,Rice,2016,209,34,632,1958
Uttar Pradesh,Sugarcane,2019,107,24,1759,1546
Karnataka,Sugarcane,2015,211,23,967,1739
Madhya Pradesh,Soybean,2018,249,23,1867,4744
Haryana,Maize,2019,202,24,1453,2274
Madhya Pradesh,Sugarcane,2019,225,29,1408,3702
Rajasthan,Bajra,2022,245,27,548,1601
Haryana,Sugarcane,2017,109,30,545,691
Tamil Nadu,Maize,2015,153,34,1770,3878
Tamil Nadu,Sugarcane,2016,216,31,1805,5441
Tamil Nadu,Sugarcane,2021,201,21,1025,1497
Madhya Pradesh,Bajra,2016,233,28,1560,3793
Rajasthan,Rice,2019,191,21,1976,3276
Madhya Pradesh,Bajra,2018,168,31,1831,4262
Tamil Nadu,Bajra,2018,118,34,501,665
Punjab,Maize,2015,133,22,520,695
Punjab,Maize,2022,227,33,1103,3916
Haryana,Wheat,2023,130,23,688,702
Bihar,Maize,2023,180,31,1029,1894
Tamil Nadu,Wheat,2018,199,28,1436,2847
Bihar,Sugarcane,2020,199,29,754,1739
Bihar,Sugarcane,2015,79,24,1475,1271
Haryana,Rice,2019,92,34,1557,2148
Uttar Pradesh,Bajra,2023,201,26,801,1571
Maharashtra,Rice,2023,178,22,1164,1948
Madhya Pradesh,Soybean,2016,175,31,536,1142
Haryana,Bajra,2016,194,35,1565,4008
Karnataka,Bajra,2016,159,28,824,1297
Rajasthan,Soybean,2022,209,20,1139,1937
Maharashtra,Wheat,2017,178,33,571,1251
Maharashtra,Maize,2018,181,34,1323,3410
Maharashtra,Wheat,2023,165,27,1663,3274
Uttar Pradesh,Wheat,2019,166,26,1947,2977
Gujarat,Rice,2023,203,32,1686,4195
Gujarat,Soybean,2015,201,30,1525,3851
Haryana,Maize,2021,178,26,727,1201
Rajasthan,Rice,2019,131,22,1342,1400
Punjab,Bajra,2021,138,22,1655,1793
Karnataka,Soybean,2017,195,33,968,2302
Tamil Nadu,Soybean,2021,87,33,1198,1361
Haryana,Maize,2015,163,29,1522,2469
Gujarat,Soybean,2022,120,29,1163,1919
Gujarat,Bajra,2020,70,35,916,975
Uttar Pradesh,Wheat,2019,169,31,646,1352
Maharashtra,Maize,2017,152,24,1301,2244
Gujarat,Soybean,2021,147,20,1847,2429
Rajasthan,Wheat,2023,149,27,1140,2146
Haryana,Wheat,2018,204,21,879,1356
Punjab,Rice,2016,232,31,1513,5128
Punjab,Sugarcane,2018,101,35,764,1111
Karnataka,Wheat,2020,75,30,1482,1413
Gujarat,Soybean,2022,225,30,756,1896
Gujarat,Soybean,2017,244,23,910,1885
Karnataka,Sugarcane,2016,86,31,726,781
Tamil Nadu,Soybean,2019,174,24,1539,2852
Uttar Pradesh,Soybean,2018,138,24,944,1097
Gujarat,Soybean,2015,223,22,658,1476
Rajasthan,Rice,2018,90,26,1326,1147
Tamil Nadu,Soybean,2022,98,22,1098,1061
Tamil Nadu,Soybean,2018,128,21,837,728
Haryana,Wheat,2018,79,30,1433,1529
Punjab,Soybean,2020,183,31,822,2103
Gujarat,Bajra,2021,177,24,1637,2901
Punjab,Soybean,2017,206,22,1887,3719
Bihar,Maize,2020,163,34,1264,2299
Rajasthan,Sugarcane,2015,89,26,885,890
Gujarat,Soybean,2020,185,31,731,1843
Tamil Nadu,Maize,2018,190,32,1481,3787
Rajasthan,Wheat,2021,189,33,1815,4220
Haryana,Rice,2022,80,31,1727,1740
Karnataka,Maize,2023,121,33,1909,3449
Rajasthan,Wheat,2023,169,33,1338,2577
Haryana,Wheat,2017,152,30,1844,3962
Punjab,Maize,2016,144,20,822,1033
Rajasthan,Rice,2017,195,25,1645,2767
Madhya Pradesh,Bajra,2022,219,23,808,1952
Punjab,Soybean,2017,208,28,1742,4118
Karnataka,Maize,2015,166,33,1287,2943
Maharashtra,Soybean,2015,182,34,1428,3407
Bihar,Soybean,2015,224,22,1271,2244
Tamil Nadu,Sugarcane,2021,182,31,1348,3576
Punjab,Sugarcane,2016,182,26,777,1533
Punjab,Soybean,2018,83,27,1937,1492
Tamil Nadu,Bajra,2022,142,35,566,1073
Tamil Nadu,Rice,2017,118,34,1155,2064
Haryana,Wheat,2023,85,35,1086,1226
Maharashtra,Wheat,2020,169,22,524,827
Uttar Pradesh,Sugarcane,2020,147,22,1477,1532
Maharashtra,Wheat,2020,140,22,1506,2186
Karnataka,Bajra,2019,241,27,561,1234
Haryana,Rice,2021,72,27,1608,1139
Karnataka,Sugarcane,2016,179,32,661,1325
Gujarat,Soybean,2021,132,31,527,993
Gujarat,Soybean,2019,96,35,974,1327
Haryana,Bajra,2022,83,30,1938,1663
Rajasthan,Sugarcane,2018,218,33,745,2532
Haryana,Maize,2023,224,35,1417,4818
Madhya Pradesh,Bajra,2016,178,30,873,1587
Bihar,Wheat,2021,179,21,1223,1585
Rajasthan,Wheat,2016,138,23,779,1030
Karnataka,Maize,2022,220,31,994,2968
Haryana,Wheat,2022,157,34,656,1591
Maharashtra,Wheat,2023,162,28,1181,1882
Haryana,Rice,2020,104,33,1700,2313
Tamil Nadu,Wheat,2021,248,30,885,2237
Tamil Nadu,Sugarcane,2016,87,34,600,755
Tamil Nadu,Maize,2018,247,35,1330,4690
Madhya Pradesh,Rice,2018,234,28,1693,4731
Maharashtra,Wheat,2022,120,28,853,1339
Karnataka,Rice,2017,125,28,1255,2079
Uttar Pradesh,Maize,2019,150,26,690,1168
Karnataka,Maize,2017,85,30,1753,1890
Rajasthan,Wheat,2023,91,30,1720,1716
Maharashtra,Maize,2022,169,24,1803,2763
Haryana,Sugarcane,2021,125,29,1085,1763
Uttar Pradesh,Sugarcane,2020,135,32,1595,2307
Tamil Nadu,Maize,2019,73,29,704,701
Uttar Pradesh,Sugarcane,2021,82,30,1801,2097
Bihar,Soybean,2023,249,21,1151,2403
Uttar Pradesh,Rice,2020,148,34,571,1026
Tamil Nadu,Bajra,2015,174,26,564,1130
Karnataka,Rice,2018,97,22,1750,1407
Maharashtra,Maize,2023,175,31,1745,3330
Madhya Pradesh,Rice,2017,194,26,686,1617
Punjab,Wheat,2020,198,25,586,1000
Karnataka,Sugarcane,2021,238,22,1260,2586
Bihar,Soybean,2021,126,30,1768,2356
Tamil Nadu,Wheat,2019,225,29,588,1307
Gujarat,Sugarcane,2015,220,35,716,2255
Tamil Nadu,Sugarcane,2017,115,30,1395,2061
Haryana,Soybean,2023,84,34,1081,1041
Karnataka,Wheat,2020,207,32,937,2234
Bihar,Rice,2022,236,25,744,1827
Tamil Nadu,Bajra,2019,78,29,1814,1432
Gujarat,Wheat,2022,135,22,1052,1074
Maharashtra,Bajra,2019,173,23,779,1102
Bihar,Rice,2021,170,33,810,1838
Tamil Nadu,Bajra,2019,88,32,672,843
Bihar,Maize,2020,201,26,1117,2296
Haryana,Soybean,2018,198,22,701,1392
Maharashtra,Sugarcane,2015,104,29,662,794
Rajasthan,Bajra,2016,135,28,1967,2888
Gujarat,Rice,2020,141,24,1601,2073
Rajasthan,Maize,2016,214,29,1603,3435
Karnataka,Soybean,2015,86,34,938,1016
Gujarat,Wheat,2016,184,35,1371,2933
Uttar Pradesh,Sugarcane,2016,83,30,721,725
Maharashtra,Sugarcane,2020,214,29,1988,4629
Uttar Pradesh,Wheat,2017,220,33,1354,3191
Punjab,Maize,2020,184,34,1789,3911
Gujarat,Soybean,2021,101,35,796,1057
Gujarat,Soybean,2019,143,29,1752,2694
Haryana,Maize,2017,153,20,532,659
Madhya Pradesh,Sugarcane,2021,152,33,1432,2822
Punjab,Soybean,2018,218,21,1396,2109
Karnataka,Maize,2020,185,31,1355,2547
Karnataka,Bajra,2020,134,27,1663,2410
Gujarat,Rice,2015,178,34,828,1673
Maharashtra,Bajra,2021,80,24,899,753
Maharashtra,Rice,2021,176,21,1469,2502
Tamil Nadu,Rice,2015,243,23,1490,3391
Haryana,Soybean,2021,193,33,1028,2163
Karnataka,Wheat,2020,97,28,1644,1858
Tamil Nadu,Sugarcane,2022,178,34,1003,2218
Bihar,Rice,2021,111,35,1357,2019
Uttar Pradesh,Soybean,2016,115,33,1984,2539
Rajasthan,Bajra,2017,108,34,1176,1596
Uttar Pradesh,Sugarcane,2021,168,28,1685,3780
Tamil Nadu,Bajra,2018,223,29,1159,2582
Rajasthan,Soybean,2018,113,28,1863,2091
Gujarat,Wheat,2017,83,28,1703,1329
Bihar,Wheat,2023,117,20,889,892
Maharashtra,Rice,2018,105,33,657,1080
Uttar Pradesh,Wheat,2017,73,25,1311,1129
Tamil Nadu,Wheat,2022,120,30,1027,1395
Gujarat,Soybean,2022,132,22,671,849
Rajasthan,Sugarcane,2020,121,33,1350,2190
Punjab,Bajra,2019,189,34,1138,3467
Karnataka,Soybean,2020,137,22,739,725
Rajasthan,Sugarcane,2020,183,29,1137,2757
Madhya Pradesh,Rice,2017,180,23,774,1139
Madhya Pradesh,Maize,2023,152,32,726,1510
Haryana,Wheat,2019,108,26,772,969
Bihar,Maize,2016,140,31,1243,2572
Haryana,Maize,2018,86,28,1026,1154
Punjab,Sugarcane,2022,230,21,624,1384
Haryana,Maize,2021,217,34,1868,6258
Bihar,Bajra,2021,156,24,960,1460
Rajasthan,Maize,2023,219,32,616,1914
Maharashtra,Rice,2017,107,30,1920,2769
Madhya Pradesh,Sugarcane,2017,103,29,836,842
Gujarat,Soybean,2021,209,24,909,1511
Maharashtra,Sugarcane,2020,229,33,856,2940
Maharashtra,Wheat,2018,111,20,1664,1485
Madhya Pradesh,Sugarcane,2015,81,20,1856,1116
Uttar Pradesh,Bajra,2019,160,27,1279,2136
Gujarat,Bajra,2016,241,21,1638,3360
Tamil Nadu,Sugarcane,2017,145,29,1004,1897
Haryana,Maize,2022,75,24,854,570
Karnataka,Sugarcane,2022,74,24,700,581
Uttar Pradesh,Wheat,2021,107,29,555,773
Punjab,Wheat,2016,175,23,648,1130
Punjab,Maize,2022,102,26,1115,1272
Haryana,Sugarcane,2021,239,28,1948,5489
Madhya Pradesh,Maize,2022,212,26,1879,4481
Gujarat,Bajra,2016,133,29,1338,2131
Tamil Nadu,Wheat,2019,198,32,1027,2900
Bihar,Wheat,2019,154,30,1291,2393
Bihar,Sugarcane,2019,85,33,1592,1859
Uttar Pradesh,Bajra,2018,240,20,1581,3014
Maharashtra,Sugarcane,2021,165,28,1037,1875
Rajasthan,Soybean,2017,125,32,1985,2714
Gujarat,Soybean,2018,103,20,1526,1256
Madhya Pradesh,Wheat,2022,114,31,580,853
Haryana,Sugarcane,2021,106,31,701,963
Gujarat,Bajra,2020,99,30,1058,1019
Bihar,Rice,2020,196,35,1073,2454
Maharashtra,Rice,2017,127,32,1509,2021
Karnataka,Bajra,2022,222,27,1628,3408
Tamil Nadu,Soybean,2016,177,35,1182,3314
Uttar Pradesh,Wheat,2017,108,35,992,1467
Gujarat,Rice,2016,107,27,506,544
Maharashtra,Soybean,2018,139,34,1994,3874
Punjab,Rice,2021,173,21,690,973
Gujarat,Bajra,2022,115,27,953,1189
Karnataka,Bajra,2021,138,32,1811,2941
Haryana,Bajra,2022,248,30,1492,4463
Madhya Pradesh,Rice,2020,234,30,523,1573
Haryana,Sugarcane,2020,165,20,1567,2265
Maharashtra,Wheat,2017,143,34,1426,2882
Tamil Nadu,Soybean,2016,80,22,1347,1095
Madhya Pradesh,Wheat,2016,172,31,1426,3581
Rajasthan,Rice,2022,210,32,1944,5260
Rajasthan,Rice,2019,174,30,1113,2146
Uttar Pradesh,Soybean,2017,108,23,630,736
Rajasthan,Sugarcane,2017,93,30,1349,1333
Gujarat,Bajra,2020,170,31,811,1676
Tamil Nadu,Maize,2015,246,20,1634,3163
Uttar Pradesh,Maize,2017,79,25,509,464
Maharashtra,Rice,2016,194,31,1519,4381
Maharashtra,Soybean,2019,236,20,1972,3238
Maharashtra,Soybean,2018,100,33,1798,2805
Karnataka,Wheat,2017,128,34,1034,1637
Tamil Nadu,Sugarcane,2015,158,31,974,2033
Uttar Pradesh,Wheat,2021,169,24,1421,2701
Uttar Pradesh,Sugarcane,2015,96,22,1660,1478
Madhya Pradesh,Bajra,2019,89,33,1685,2218
Maharashtra,Bajra,2019,78,34,1828,1947
Gujarat,Soybean,2019,201,35,1433,4697
Karnataka,Bajra,2016,200,35,599,1755
Gujarat,Soybean,2019,126,32,603,971
Tamil Nadu,Sugarcane,2015,201,21,1096,1588
Punjab,Rice,2018,160,33,1994,3539
Karnataka,Soybean,2015,237,26,1830,4425
Rajasthan,Bajra,2020,92,27,1006,1127
Bihar,Sugarcane,2021,154,23,535,808
Tamil Nadu,Soybean,2018,223,34,1367,3898
Gujarat,Sugarcane,2016,145,22,1764,2139
Maharashtra,Bajra,2023,86,23,1000,869
Uttar Pradesh,Soybean,2016,108,27,1913,2092
Bihar,Bajra,2019,102,29,1190,1682
Rajasthan,Bajra,2020,99,27,866,802
Gujarat,Maize,2022,205,25,1822,4219
Karnataka,Bajra,2017,221,25,1035,2114
Maharashtra,Sugarcane,2018,151,25,750,1048
Punjab,Maize,2016,115,33,928,1246
Gujarat,Rice,2022,141,30,1500,2558
Punjab,Sugarcane,2019,225,33,1164,3099
Karnataka,Sugarcane,2023,73,35,698,580
Karnataka,Maize,2016,159,23,1680,2012
Rajasthan,Rice,2022,124,30,1630,1991
Rajasthan,Soybean,2019,107,31,1024,1106
Karnataka,Rice,2019,145,23,971,1161
Gujarat,Bajra,2017,73,27,1389,888
Haryana,Sugarcane,2023,187,32,1512,3240
Karnataka,Soybean,2022,239,33,721,1922
Rajasthan,Wheat,2021,231,35,650,1905
Karnataka,Wheat,2018,206,25,872,2140
Maharashtra,Sugarcane,2017,195,23,802,1602
Punjab,Sugarcane,2020,140,23,1129,1517
Haryana,Soybean,2022,91,27,1354,1270
Karnataka,Wheat,2018,157,29,1862,3933
Haryana,Wheat,2016,109,28,1418,1650
Bihar,Wheat,2023,216,33,1959,5515
Bihar,Wheat,2021,127,24,1496,1572
Uttar Pradesh,Soybean,2022,146,25,1893,2974
Punjab,Maize,2023,229,22,938,1910
Karnataka,Maize,2018,78,23,653,420
Punjab,Sugarcane,2021,201,21,1027,1525
Punjab,Maize,2020,121,35,569,1134
Maharashtra,Bajra,2018,215,24,1768,4168
Uttar Pradesh,Maize,2020,134,30,1290,2144
Tamil Nadu,Bajra,2017,226,24,777,1891
Rajasthan,Bajra,2021,168,20,1846,2298
Karnataka,Soybean,2020,70,23,1238,692
Punjab,Bajra,2020,238,35,1735,5685
Gujarat,Soybean,2016,163,35,1978,4026
Uttar Pradesh,Maize,2016,129,25,608,631
Rajasthan,Wheat,2022,138,24,1519,2382
Uttar Pradesh,Maize,2015,184,32,1340,2788
Karnataka,Soybean,2023,135,27,1568,2477
Tamil Nadu,Bajra,2021,164,28,1780,2933
Haryana,Rice,2020,101,30,1791,2170
Maharashtra,Wheat,2015,86,25,952,943
Bihar,Bajra,2017,222,34,1087,2693
Tamil Nadu,Wheat,2021,109,28,1105,1174
Gujarat,Soybean,2018,105,24,603,676
Uttar Pradesh,Bajra,2019,185,28,1271,2161
Punjab,Rice,2019,123,31,1894,3383
Punjab,Sugarcane,2015,221,33,738,2150
Rajasthan,Sugarcane,2016,121,21,1878,1699
Punjab,Sugarcane,2017,125,20,504,592
Maharashtra,Bajra,2020,188,33,965,2066
Karnataka,Soybean,2021,229,32,1096,3097
Bihar,Soybean,2023,186,28,1393,3317
Madhya Pradesh,Soybean,2022,150,25,792,1009
Bihar,Maize,2022,139,27,1640,2143
Haryana,Rice,2016,220,34,1398,3451
Uttar Pradesh,Rice,2019,220,34,1217,3147
Maharashtra,Maize,2018,196,33,1728,4661
Bihar,Sugarcane,2015,149,20,1493,1539
Haryana,Bajra,2019,151,33,1416,3087
Uttar Pradesh,Maize,2021,242,28,1320,4184
Gujarat,Bajra,2016,116,23,958,924
Tamil Nadu,Bajra,2015,176,33,1685,3453
Uttar Pradesh,Bajra,2022,115,35,1128,2109
Punjab,Wheat,2019,232,29,853,1979
Bihar,Maize,2020,179,26,1255,1879
Uttar Pradesh,Sugarcane,2020,248,30,583,1940
Madhya Pradesh,Wheat,2023,165,25,1524,2662
Uttar Pradesh,Rice,2017,76,30,745,715
Punjab,Bajra,2016,203,35,1476,4375
Madhya Pradesh,Bajra,2022,145,34,1819,4123
Uttar Pradesh,Sugarcane,2018,244,27,1856,5166
Karnataka,Soybean,2017,133,33,1685,3116
Rajasthan,Soybean,2018,160,31,1460,3212
Bihar,Rice,2021,106,33,1067,1493
Bihar,Bajra,2022,202,26,925,2282
Maharashtra,Bajra,2019,136,25,601,716
Uttar Pradesh,Wheat,2019,92,25,1104,1120
Rajasthan,Sugarcane,2023,135,31,587,1025
Maharashtra,Maize,2022,188,20,1814,2644
Uttar Pradesh,Sugarcane,2018,95,27,721,784
Tamil Nadu,Maize,2020,165,20,626,847
Rajasthan,Rice,2016,189,22,1486,2553
Madhya Pradesh,Rice,2016,226,35,1096,4035
Karnataka,Sugarcane,2018,241,23,1582,3547
Tamil Nadu,Rice,2021,194,25,570,1124
Bihar,Bajra,2019,228,23,1101,1911
Rajasthan,Rice,2018,180,22,1813,2859
Uttar Pradesh,Sugarcane,2018,76,21,1226,790
Uttar Pradesh,Wheat,2018,73,26,791,594
Uttar Pradesh,Soybean,2022,227,35,921,2480
Tamil Nadu,Rice,2016,210,33,1609,5152
Uttar Pradesh,Bajra,2022,144,26,1944,3198
Maharashtra,Rice,2018,75,28,1080,886
Tamil Nadu,Bajra,2019,82,26,855,618
Haryana,Sugarcane,2022,137,33,854,1486
Karnataka,Wheat,2021,187,33,1250,3383
Haryana,Soybean,2017,154,32,1247,2558
Tamil Nadu,Soybean,2020,120,22,1056,1039
Gujarat,Sugarcane,2022,124,22,1249,1263
Maharashtra,Sugarcane,2023,206,24,1563,2981
Maharashtra,Maize,2023,165,35,1063,2538
Uttar Pradesh,Rice,2017,139,35,633,1035
Rajasthan,Wheat,2015,201,26,1676,4042
Punjab,Rice,2023,243,30,856,2922
Tamil Nadu,Maize,2016,89,24,881,689
Rajasthan,Maize,2021,153,32,1305,2280
Haryana,Sugarcane,2015,128,21,997,1112
Haryana,Sugarcane,2019,115,30,1121,1648
Maharashtra,Sugarcane,2018,240,35,1753,6990
Maharashtra,Maize,2023,140,33,652,1256
Madhya Pradesh,Soybean,2022,218,33,1185,3355
Maharashtra,Bajra,2015,196,30,528,1329
Punjab,Wheat,2015,206,26,1461,3359
Madhya Pradesh,Maize,2018,115,33,1071,1592
Punjab,Maize,2023,165,35,1431,2794
Haryana,Maize,2016,154,29,1736,3359
Punjab,Bajra,2018,241,20,1423,3058
Haryana,Maize,2022,186,28,1972,3512
Tamil Nadu,Wheat,2019,212,20,1856,2737
Gujarat,Soybean,2015,91,28,1987,1753
Madhya Pradesh,Bajra,2016,83,22,791,522
Uttar Pradesh,Soybean,2020,99,24,1106,1017
Bihar,Sugarcane,2017,169,30,861,1898
Bihar,Maize,2023,236,30,750,2398
Rajasthan,Sugarcane,2015,125,25,1912,2086
Uttar Pradesh,Rice,2023,166,20,1286,1873
Uttar Pradesh,Sugarcane,2021,230,33,1660,5495
Bihar,Rice,2021,135,31,1686,2387
Gujarat,Sugarcane,2021,228,31,1385,4257
Gujarat,Soybean,2017,147,27,847,1601
Bihar,Rice,2015,127,21,1096,1123
Rajasthan,Soybean,2020,198,25,789,1865
Bihar,Bajra,2019,203,35,634,1808
Gujarat,Wheat,2023,210,30,628,1561
Uttar Pradesh,Maize,2017,81,25,1190,1137
Rajasthan,Maize,2020,236,31,1652,4747
Karnataka,Maize,2015,184,30,822,1930
Gujarat,Bajra,2022,217,24,1613,3897
Bihar,Soybean,2020,143,26,1389,2229
Karnataka,Sugarcane,2020,154,25,1176,1858
Uttar Pradesh,Bajra,2015,201,25,1780,4217
Madhya Pradesh,Maize,2018,140,23,822,884
Uttar Pradesh,Soybean,2015,211,32,1182,3811
Madhya Pradesh,Rice,2023,245,33,1145,4322
Gujarat,Maize,2015,122,31,1292,1875
Maharashtra,Soybean,2021,148,25,586,842
Madhya Pradesh,Rice,2016,164,29,577,883
Madhya Pradesh,Soybean,2021,228,32,1562,4701
Bihar,Rice,2021,107,28,1783,2563
Punjab,Soybean,2015,218,31,919,2686
Gujarat,Sugarcane,2018,220,31,1042,2420
Gujarat,Bajra,2020,103,32,1371,1845
Gujarat,Soybean,2015,237,25,773,1537
Tamil Nadu,Wheat,2018,212,24,823,1407
Haryana,Soybean,2019,131,30,1252,2327
Tamil Nadu,Soybean,2015,194,21,1482,2879
Gujarat,Maize,2022,146,21,1855,2531
Madhya Pradesh,Wheat,2016,135,31,730,1170
Haryana,Maize,2020,116,31,536,730
Maharashtra,Sugarcane,2022,240,21,537,1025
Bihar,Sugarcane,2022,110,27,769,997
Gujarat,Maize,2017,99,20,542,371
Karnataka,Wheat,2021,185,27,1729,4017
Maharashtra,Maize,2018,238,27,1031,2569
Madhya Pradesh,Rice,2019,153,22,1857,2829
Uttar Pradesh,Sugarcane,2018,101,25,951,990
Tamil Nadu,Maize,2017,73,32,1970,1759
Karnataka,Sugarcane,2018,188,34,1388,3729
Haryana,Bajra,2016,249,32,546,2050
Bihar,Bajra,2020,141,31,1479,2906
Madhya Pradesh,Wheat,2015,112,21,1978,2154
Maharashtra,Soybean,2016,130,29,677,1087
Karnataka,Wheat,2019,81,28,740,721
Bihar,Maize,2020,247,31,1508,4629
Rajasthan,Bajra,2022,140,22,1647,2416
Uttar Pradesh,Bajra,2019,123,32,1740,3129
Rajasthan,Bajra,2018,120,24,1715,1931
Punjab,Rice,2022,214,33,577,1607
Haryana,Rice,2019,156,32,1118,2636
Rajasthan,Maize,2016,150,34,641,1457
Rajasthan,Rice,2021,121,28,1459,1790
Madhya Pradesh,Sugarcane,2017,105,26,512,480
Bihar,Sugarcane,2019,213,21,1914,4036
Punjab,Soybean,2019,184,33,1518,3725
Punjab,Bajra,2021,87,29,1152,1219
Tamil Nadu,Bajra,2021,239,26,1711,5089
Tamil Nadu,Sugarcane,2020,234,28,1719,4488
Haryana,Wheat,2020,146,26,1792,2427
Punjab,Sugarcane,2022,189,30,1981,4223
Madhya Pradesh,Wheat,2018,79,25,1673,1357
Rajasthan,Sugarcane,2017,135,35,836,1284
Uttar Pradesh,Soybean,2023,114,35,1535,2738
Maharashtra,Wheat,2019,212,25,1758,3161
Karnataka,Sugarcane,2015,179,20,1418,1967
Tamil Nadu,Bajra,2019,170,34,1234,2719
Maharashtra,Bajra,2022,176,34,1741,4762
Punjab,Rice,2018,173,20,1369,1923
Rajasthan,Rice,2017,105,33,1407,2089
Rajasthan,Wheat,2019,122,21,512,483
Maharashtra,Sugarcane,2015,104,30,893,1186
Punjab,Rice,2017,184,24,1712,2881
Maharashtra,Sugarcane,2015,221,27,519,1186
Tamil Nadu,Wheat,2020,240,25,921,2352
Haryana,Maize,2020,237,23,1497,3706
Maharashtra,Wheat,2017,187,28,1829,3618
Tamil Nadu,Rice,2015,106,22,911,848
Bihar,Bajra,2018,135,22,848,961
Karnataka,Wheat,2018,250,34,1502,4138
Uttar Pradesh,Soybean,2017,201,30,1150,2708
Madhya Pradesh,Bajra,2015,159,31,563,1216
Gujarat,Sugarcane,2018,113,22,560,610
Punjab,Maize,2021,160,22,1052,1710
Uttar Pradesh,Sugarcane,2016,155,31,871,1459
Madhya Pradesh,Maize,2022,246,20,1927,3462
Rajasthan,Soybean,2018,117,20,1084,1136
Bihar,Wheat,2016,109,28,569,814
Madhya Pradesh,Maize,2020,79,32,1614,1766
Madhya Pradesh,Sugarcane,2015,181,20,1965,2716
Karnataka,Bajra,2022,209,27,1729,3161
Bihar,Maize,2021,196,27,903,1554
Maharashtra,Maize,2023,201,30,1968,4657
Bihar,Bajra,2021,76,29,1506,1468
Karnataka,Sugarcane,2016,162,26,1351,2199
Rajasthan,Maize,2020,244,26,1430,3885
Tamil Nadu,Bajra,2015,186,29,1383,3395
Gujarat,Soybean,2017,93,29,1298,1353
Rajasthan,Bajra,2019,87,24,911,675
Gujarat,Bajra,2018,176,21,976,1730
Punjab,Wheat,2017,168,28,812,1579
Karnataka,Bajra,2017,181,27,1955,3312
Punjab,Bajra,2022,218,23,1976,3262
Karnataka,Sugarcane,2019,92,34,1276,1543
Gujarat,Sugarcane,2022,112,20,508,525
Gujarat,Sugarcane,2015,202,35,1082,3049
Tamil Nadu,Bajra,2021,250,21,1823,3169
Punjab,Rice,2021,158,28,870,1398
Madhya Pradesh,Wheat,2017,85,35,1689,1862
Haryana,Wheat,2023,85,30,1969,1907
Maharashtra,Bajra,2019,126,34,1676,2337
Rajasthan,Maize,2018,183,22,1444,1990
Bihar,Wheat,2016,168,29,1375,2595
Punjab,Soybean,2023,148,33,1973,3913
Uttar Pradesh,Bajra,2021,110,26,1851,2027
Tamil Nadu,Rice,2023,158,27,1786,2620
Uttar Pradesh,Soybean,2018,192,25,862,1455
Bihar,Rice,2022,178,34,665,1649
Gujarat,Soybean,2015,183,35,751,1565
Tamil Nadu,Rice,2020,120,20,1443,1644
Haryana,Wheat,2020,105,21,1719,1245
Maharashtra,Rice,2021,222,27,1612,4498
Rajasthan,Soybean,2021,160,32,1217,2491
Punjab,Sugarcane,2021,248,21,1237,2122
Rajasthan,Wheat,2016,162,23,1025,1829
Tamil Nadu,Wheat,2019,70,26,1707,1222
Tamil Nadu,Soybean,2019,76,28,640,448
Gujarat,Soybean,2020,99,34,1383,1935
Haryana,Bajra,2018,189,26,1627,3626
Karnataka,Maize,2018,136,31,688,947
Karnataka,Bajra,2016,78,29,1588,1287
Punjab,Wheat,2020,123,26,1791,1921
Rajasthan,Maize,2018,179,32,1109,2473
Gujarat,Soybean,2015,189,30,1828,3768
Madhya Pradesh,Bajra,2018,215,34,1867,5197
Haryana,Maize,2015,98,35,703,837
Rajasthan,Soybean,2017,145,24,1219,1837
Bihar,Sugarcane,2019,131,33,1278,2242
Tamil Nadu,Bajra,2018,198,34,628,1752
Madhya Pradesh,Rice,2018,218,35,1053,2725
Uttar Pradesh,Sugarcane,2015,101,20,1724,1634
Madhya Pradesh,Wheat,2022,210,25,1493,3010
Rajasthan,Rice,2019,212,32,1472,4627
Rajasthan,Maize,2021,217,32,1027,3010
Maharashtra,Wheat,2015,228,28,1768,4136
Haryana,Wheat,2019,73,22,1682,1177
Haryana,Sugarcane,2020,219,25,1246,3144
Tamil Nadu,Sugarcane,2018,144,34,1745,3279
Rajasthan,Sugarcane,2015,186,24,1327,2520
Gujarat,Sugarcane,2015,101,32,1190,1283
Maharashtra,Sugarcane,2016,195,24,1856,3731
Uttar Pradesh,Bajra,2019,135,23,1155,1664
Uttar Pradesh,Sugarcane,2016,149,28,1865,3257
Rajasthan,Bajra,2018,110,20,1584,1116
Bihar,Sugarcane,2023,247,26,1497,3637
Rajasthan,Sugarcane,2017,91,22,1679,1406
Madhya Pradesh,Sugarcane,2019,236,35,1593,5322
Rajasthan,Bajra,2019,181,21,1363,1859
Bihar,Sugarcane,2020,81,25,1326,913
Rajasthan,Bajra,2018,180,28,663,1126
Uttar Pradesh,Soybean,2020,210,28,1314,3524
Tamil Nadu,Wheat,2017,246,28,551,1520
Karnataka,Rice,2020,127,21,518,605
Punjab,Sugarcane,2021,98,24,621,505
Uttar Pradesh,Sugarcane,2022,183,25,1671,3303
Gujarat,Sugarcane,2017,227,26,720,1575
Gujarat,Rice,2015,110,34,679,1148
Haryana,Wheat,2015,144,34,1817,2969
Bihar,Wheat,2022,86,31,851,797
Gujarat,Bajra,2016,181,30,1403,2455
Bihar,Soybean,2021,156,20,1584,2008
Maharashtra,Rice,2023,191,31,706,1987
